epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1197.94,1.29758,0.89955,0.82595,0.83875,1,0.91806,0.39919,1.61485,1.32445,0.83435,0.0011486,0.0011486,0.0011486
45,1223.53,1.30128,0.86167,0.84097,0.87492,0.99936,0.90125,0.39544,1.54917,1.32516,0.83145,0.0011288,0.0011288,0.0011288
46,1249.48,1.30465,0.86301,0.83004,0.85231,1,0.895,0.46106,1.52194,1.30529,0.83753,0.001109,0.001109,0.001109
47,1275.52,1.34421,0.86887,0.84675,0.76895,0.92857,0.89429,0.49514,1.56601,1.29428,0.85798,0.0010892,0.0010892,0.0010892
48,1301.4,1.34206,0.89217,0.84386,0.87291,0.78571,0.8925,0.52073,1.3922,1.17494,0.82496,0.0010694,0.0010694,0.0010694
49,1327.24,1.3794,0.87626,0.83672,0.91351,0.75596,0.89567,0.57105,1.31281,1.14495,0.81743,0.0010496,0.0010496,0.0010496
50,1352.78,1.32436,0.8611,0.83675,0.83592,0.71429,0.8776,0.54966,1.38688,1.17666,0.82893,0.0010298,0.0010298,0.0010298
51,1378.34,1.35638,0.87954,0.83582,0.83782,0.73929,0.88486,0.51069,1.5116,1.19024,0.83549,0.00101,0.00101,0.00101
52,1404.51,1.26859,0.79815,0.83437,0.72924,0.96285,0.9001,0.48704,1.62237,1.13397,0.85266,0.0009902,0.0009902,0.0009902
53,1430.43,1.34115,0.83293,0.83458,0.72415,0.92857,0.91845,0.48735,1.69306,1.12335,0.86114,0.0009704,0.0009704,0.0009704
54,1456.25,1.32946,0.84283,0.83865,0.77519,0.98588,0.93661,0.47183,1.70001,1.09967,0.8592,0.0009506,0.0009506,0.0009506
55,1481.57,1.34884,0.83239,0.8332,0.76985,0.95669,0.94242,0.51508,1.59213,1.10801,0.84151,0.0009308,0.0009308,0.0009308
56,1507.8,1.2886,0.80427,0.82835,0.87132,0.9685,0.92925,0.53565,1.50742,1.18353,0.84023,0.000911,0.000911,0.000911
57,1533.94,1.30564,0.81513,0.83351,0.87215,0.97559,0.92375,0.4901,1.56399,1.18946,0.84496,0.0008912,0.0008912,0.0008912
58,1564.15,1.3436,0.80419,0.83251,0.87356,0.98764,0.93292,0.44426,1.63715,1.14036,0.85298,0.0008714,0.0008714,0.0008714
59,1591.87,1.35244,0.82209,0.82869,0.81572,1,0.92091,0.39858,1.67618,1.12821,0.8593,0.0008516,0.0008516,0.0008516
60,1618.2,1.22988,0.80522,0.81775,0.81255,1,0.91455,0.45891,1.58457,1.0983,0.84632,0.0008318,0.0008318,0.0008318
61,1644.04,1.26063,0.77203,0.8206,0.85111,1,0.92091,0.50589,1.53876,1.04833,0.8405,0.000812,0.000812,0.000812
62,1670.07,1.29171,0.75837,0.83312,0.86653,1,0.92925,0.5506,1.51637,1.05092,0.83663,0.0007922,0.0007922,0.0007922
63,1695.96,1.28959,0.78646,0.819,0.8746,1,0.93364,0.52647,1.5225,1.07499,0.83863,0.0007724,0.0007724,0.0007724
64,1721.7,1.30961,0.80546,0.83158,0.84656,1,0.95125,0.53075,1.53066,1.05915,0.83922,0.0007526,0.0007526,0.0007526
65,1748.33,1.26656,0.74462,0.83386,0.87113,0.9668,0.96125,0.5126,1.56498,1.02241,0.8396,0.0007328,0.0007328,0.0007328
66,1775.08,1.22775,0.75955,0.82276,0.86919,0.95024,0.96125,0.52689,1.57366,0.98637,0.84044,0.000713,0.000713,0.000713
67,1801.4,1.244,0.74747,0.84027,0.87165,0.97127,0.96125,0.51778,1.54666,0.98237,0.84031,0.0006932,0.0006932,0.0006932
68,1827.41,1.25894,0.76136,0.83344,0.8582,1,0.94054,0.49369,1.55334,0.99173,0.84143,0.0006734,0.0006734,0.0006734
69,1853.29,1.25598,0.72337,0.82714,0.87024,1,0.93554,0.46495,1.60065,1.01884,0.84719,0.0006536,0.0006536,0.0006536
70,1879.29,1.2923,0.76128,0.81303,0.87039,1,0.92554,0.45898,1.59237,1.01814,0.84689,0.0006338,0.0006338,0.0006338
71,1905.9,1.31136,0.76423,0.83528,0.87498,1,0.92018,0.47683,1.51371,0.96626,0.83821,0.000614,0.000614,0.000614
72,1932.81,1.17761,0.71051,0.82384,0.86327,1,0.92018,0.56792,1.40667,0.88827,0.82776,0.0005942,0.0005942,0.0005942
73,1958.46,1.26205,0.72486,0.81893,0.93163,0.9745,0.92867,0.56288,1.40913,0.90362,0.82825,0.0005744,0.0005744,0.0005744
74,1984.36,1.21695,0.71425,0.82471,0.93143,0.97144,0.93367,0.54576,1.4597,0.94465,0.83198,0.0005546,0.0005546,0.0005546
75,2010.24,1.2228,0.70873,0.82801,0.93035,0.95529,0.943,0.53673,1.48983,1.00263,0.83733,0.0005348,0.0005348,0.0005348
76,2036.05,1.24057,0.68238,0.82981,0.87175,0.85714,0.94981,0.57513,1.45345,1.05728,0.8337,0.000515,0.000515,0.000515
77,2061.97,1.19961,0.6947,0.82047,0.85813,0.86456,0.94562,0.5691,1.45834,0.99016,0.83233,0.0004952,0.0004952,0.0004952
78,2087.99,1.23506,0.72262,0.81508,0.90201,0.85714,0.93165,0.51775,1.45126,0.99845,0.83084,0.0004754,0.0004754,0.0004754
79,2113.62,1.24273,0.69722,0.81422,0.88493,0.85714,0.92626,0.49312,1.46265,1.0246,0.83317,0.0004556,0.0004556,0.0004556
